episode,total_reward,episode_length,loss
1,-10.0,12,-9.774866104125977
2,-10.0,13,-10.015535354614258
3,-10.0,12,-9.444445610046387
4,-9.2,116,-3.203279495239258
5,-8.979999999999999,51,-7.255474090576172
6,-8.781999999999998,51,-6.560269832611084
7,-8.7038,39,-6.832762241363525
8,-8.03342,116,-2.526827573776245
9,-7.930078,51,-5.899529933929443
10,-7.9370702,38,-3.8754489421844482
11,-7.54336318,90,-1.5744171142578125
12,-7.589026862,39,-2.1827375888824463
13,-7.7301241758,25,-3.8375725746154785
14,-7.957111758220001,12,-0.54686039686203
15,-8.161400582398,12,-0.5557014346122742
16,-8.345260524158201,12,-0.6647786498069763
17,-8.510734471742381,12,-0.5478209257125854
18,-8.459661024568144,38,-1.709658145904541
19,-8.413694922111329,38,-3.0485680103302
20,-8.172325429900196,64,-2.3402504920959473
21,-8.355092886910176,13,-3.773120880126953
22,-8.119583598219158,64,-2.4815242290496826
23,-8.207625238397242,25,-3.5678815841674805
24,-8.286862714557518,25,-2.8744077682495117
25,-8.058176443101766,64,-2.5393011569976807
26,-7.652358798791591,90,-1.9228852987289429
27,-7.687122918912432,39,-5.868116855621338
28,-6.818410627021189,155,-1.2188936471939087
29,-6.8365695643190705,51,-4.046648025512695
30,-7.152912607887163,12,-3.9088315963745117
31,-7.437621347098447,12,-1.2959115505218506
32,-7.593859212388603,25,-3.8676912784576416
33,-7.734473291149743,25,-6.604875564575195
34,-7.861025962034769,25,-7.961545467376709
35,-7.174923365831292,129,-1.8364198207855225
36,-6.657431029248163,116,-1.964170217514038
37,-6.091687926323346,129,-2.1270864009857178
38,-6.482519133691012,12,-8.643901824951172
39,-6.43426722032191,64,-4.652793884277344
40,-5.890840498289719,129,-2.0196142196655273
41,-6.001756448460747,51,-4.639082908630371
42,-5.901580803614673,77,-3.853407144546509
43,-3.711422723253205,350,2.0488462448120117
44,-4.0402804509278845,51,-5.24540376663208
45,-4.636252405835096,12,-8.190594673156738
46,-5.172627165251587,12,-6.854183673858643
47,-5.655364448726428,12,-8.433379173278809
48,-6.0898280038537855,12,-9.274349212646484
49,-4.980845203468407,208,-0.4419568181037903
50,-5.1827606831215665,51,-4.424191474914551
51,-5.3644846148094105,51,-4.751881122589111
52,-5.62803615332847,39,-6.3029303550720215
53,-5.265232537995623,116,-2.3368656635284424
54,-5.638709284196062,25,-8.488794326782227
55,-5.774838355776456,51,-4.624814987182617
56,-5.897354520198811,51,-4.358836650848389
57,-6.00761906817893,51,-4.309267044067383
58,-6.006857161361037,64,-2.8515548706054688
59,-5.906171445224933,78,-3.37908673286438
60,-5.915554300702439,64,-3.9806528091430664
61,-5.623998870632195,103,-2.1075026988983154
62,-6.061598983568976,12,-5.115830898284912
63,-5.855439085212079,91,-2.10945463180542
64,-6.169895176690871,25,-4.2144575119018555
65,-6.152905659021783,64,-2.7002246379852295
66,-6.237615093119605,51,-3.905869483947754
