episode,total_reward,episode_length,loss
1,-7.0,51,-3.468571424484253
2,-7.0,51,-3.2326245307922363
3,-7.2,25,-7.670386791229248
4,-7.380000000000001,26,-8.68613052368164
5,-7.642000000000001,12,-21.58392906188965
6,-7.8778000000000015,13,-19.858905792236328
7,-7.790020000000002,51,-2.430856704711914
8,-7.711018000000002,51,-2.1507887840270996
9,-7.939916200000002,12,-17.563764572143555
10,-7.945924580000002,39,-4.620192050933838
11,-7.751332122000001,65,-1.7797982692718506
12,-7.476198909800001,78,-1.3747689723968506
13,-7.328579018820001,64,-1.7169160842895508
14,-7.495721116938001,25,-5.159898281097412
15,-7.046149005244201,103,-0.8247165083885193
16,-7.3415341047197815,12,-26.04436492919922
17,-7.007380694247804,90,-1.0700879096984863
18,-7.206642624823024,25,-6.584224700927734
19,-7.485978362340722,12,-22.304977416992188
20,-6.93738052610665,116,-0.5323812365531921
21,-6.543642473495985,103,-0.6580311059951782
22,-6.389278226146386,77,-1.3319429159164429
23,-6.750350403531748,12,-18.47172737121582
24,-5.975315363178574,155,-0.02884547971189022
25,-6.377783826860717,12,-15.114619255065918
26,-6.540005444174645,38,-2.3940083980560303
27,-6.3860048997571806,77,-0.9006491303443909
28,-6.2474044097814625,77,-0.8562939167022705
29,-5.122663968803316,207,0.2538013160228729
30,-5.210397571922984,64,-1.0710588693618774
31,-5.189357814730686,77,-0.7220086455345154
32,-4.870422033257618,116,-0.27011245489120483
33,-4.483379829931856,129,-0.11472197622060776
34,-4.335041846938671,103,-0.32600149512290955
35,-4.601537662244803,51,-1.5530635118484497
36,-4.841383896020323,51,-1.4574614763259888
37,-5.357245506418291,12,-13.777775764465332
38,-5.721520955776462,25,-3.853560209274292
39,-6.149368860198816,13,-22.548442840576172
40,-5.734431974178935,116,-0.21488389372825623
41,-5.560988776761041,90,-0.4498497545719147
42,-5.704889899084938,51,-1.438493013381958
43,-5.034400909176444,155,0.14137564599514008
44,-5.130960818258799,64,-1.2156431674957275
45,-5.2178647364329205,64,-0.8651662468910217
46,-5.596078262789629,25,-3.865429162979126
47,-5.436470436510667,90,-0.531406819820404
48,-5.7928233928596,25,-2.9300551414489746
49,-6.21354105357364,12,-14.809060096740723
50,-5.692186948216276,129,-0.00570159126073122
51,-5.622968253394649,77,-0.6918027997016907
52,-5.660671428055183,64,-1.0413124561309814
53,-5.394604285249665,103,-0.2113807499408722
54,-4.5551438567246985,181,0.3141416907310486
55,-5.0996294710522285,12,-12.130691528320312
56,-4.589666523947006,142,0.0874517560005188
57,-5.030699871552306,25,-4.826070308685303
58,-5.427629884397076,25,-2.941061019897461
59,-5.8848668959573684,12,-12.790916442871094
60,-6.296380206361632,12,-10.818684577941895
61,-5.966742185725469,103,-0.16402588784694672
62,-4.9700679671529215,194,0.2822084426879883
63,-5.47306117043763,12,-11.853026390075684
64,-5.625755053393867,51,-0.982702374458313
65,-5.263179548054481,116,-0.07936675101518631
66,-5.236861593249033,77,-0.45338836312294006
67,-5.61317543392413,25,-3.5052075386047363
68,-5.651857890531717,64,-0.5941107869148254
69,-5.786672101478546,52,-1.4693853855133057
70,-5.308004891330691,129,0.030718550086021423
71,-4.977204402197622,116,0.04186272993683815
72,-4.8794839619778605,90,-0.26328304409980774
73,-4.991535565780074,64,-0.6002457141876221
74,-5.192382009202067,51,-1.3081841468811035
75,-5.573143808281861,25,-3.0778210163116455
76,-5.915829427453676,25,-2.6148576736450195
77,-5.724246484708308,90,-0.12769995629787445
78,-5.751821836237477,64,-0.7536761164665222
79,-5.97663965261373,38,-1.335864782333374
80,-6.378975687352357,12,-7.791645050048828
81,-6.641078118617122,25,-3.0912299156188965
82,-6.87697030675541,25,-2.0171549320220947
83,-6.889273276079869,51,-0.886554479598999
84,-6.700345948471883,77,-0.4072858989238739
85,-6.530311353624695,77,-0.3308234214782715
86,-6.777280218262226,25,-2.7548444271087646
87,-6.999552196436004,25,-3.419276237487793
88,-7.299596976792404,12,-5.717119216918945
89,-7.369637279113163,38,-1.209934949874878
90,-7.032673551201847,90,-0.023034492507576942
91,-6.8294061960816626,77,-0.24397557973861694
92,-6.746465576473497,64,-0.2856661379337311
93,-7.071819018826147,12,-5.468764781951904
94,-7.064637116943533,51,-0.3218311667442322
95,-6.85817340524918,77,-0.15438352525234222
96,-6.772356064724262,64,-0.20491299033164978
97,-3.795120458251836,441,0.5687572956085205
98,-3.915608412426652,77,-0.13325080275535583
99,-4.224047571183987,51,-0.3557388484477997
100,-4.001642814065589,116,0.050241049379110336
101,-4.10147853265903,77,-0.3237954378128052
102,-4.691330679393127,12,-7.17033576965332
103,-4.1221976114538155,155,0.2224513590335846
104,-4.709977850308434,12,-4.489303112030029
105,-5.1389800652775905,25,-1.5295404195785522
106,-5.625082058749832,12,-9.178269386291504
107,-5.962573852874849,25,-2.788461208343506
108,-5.666316467587364,103,0.014271129854023457
109,-5.299684820828627,116,0.19956499338150024
110,-4.969716338745765,116,0.16020753979682922
111,-5.272744704871188,38,-1.1776381731033325
112,-5.64547023438407,25,-1.7727497816085815
113,-5.980923210945663,25,-1.6105430126190186
114,-5.882830889851097,77,-0.19185760617256165
115,-5.794547800865987,77,-0.11976511776447296
116,-5.515093020779388,103,0.0983903780579567
117,-5.6635837187014495,51,-0.5962058305740356
118,-5.997225346831305,25,-2.052208662033081
119,-6.297502812148175,25,-2.2885537147521973
120,-6.167752530933358,77,-0.16207537055015564
121,-6.550977277840023,12,-9.279129028320312
122,-6.09587955005602,116,0.21879418194293976
123,-6.386291595050419,25,-2.4246370792388916
124,-6.347662435545377,64,-0.45417776703834534
125,-6.71289619199084,12,-7.564163684844971
126,-6.241606572791756,116,0.3199506998062134
127,-6.11744591551258,77,-0.06876470893621445
