episode,total_reward,episode_length,loss
1,-10.0,13,-10.558548927307129
2,-9.6,64,-6.363744258880615
3,-9.040000000000001,90,-4.606699466705322
4,-8.936000000000002,39,-7.88667631149292
5,-8.442400000000003,90,-4.673292636871338
6,-8.098160000000004,77,-5.427616119384766
7,-8.288344000000002,12,-10.688931465148926
8,-8.459509600000002,12,-10.353129386901855
9,-8.613558640000003,12,-10.076584815979004
10,-8.652202776000003,26,-8.939167976379395
11,-8.686982498400003,26,-8.667115211486816
12,-8.818284248560001,12,-8.933589935302734
13,-8.836455823704002,25,-9.290441513061523
14,-8.452810241333601,77,-5.433533668518066
15,-7.707529217200241,130,-2.6344194412231445
16,-7.836776295480218,25,-9.185072898864746
17,-8.053098665932197,12,-10.599896430969238
18,-8.247788799338977,12,-10.144886016845703
19,-8.02300991940508,64,-6.328948020935059
20,-7.920708927464572,52,-7.128467082977295
21,-7.728638034718115,64,-6.203968048095703
22,-7.955774231246304,13,-10.28624153137207
23,-7.860196808121674,51,-7.165998458862305
24,-8.074177127309508,12,-10.386801719665527
25,-8.166759414578557,25,-9.389348983764648
26,-8.350083473120701,12,-9.980685234069824
27,-7.715075125808632,116,-3.26153302192688
28,-7.943567613227769,12,-10.829968452453613
29,-8.049210851904991,25,-9.385910987854004
30,-8.244289766714491,12,-10.715274810791016
31,-8.419860790043042,12,-9.785897254943848
32,-8.477874711038739,25,-9.057101249694824
33,-8.430087239934865,39,-8.109827995300293
34,-8.187078515941378,64,-6.482728481292725
35,-8.268370664347241,26,-8.993487358093262
36,-7.041533597912517,195,-0.3328876495361328
37,-6.537380238121266,117,-3.3213813304901123
38,-6.483642214309139,64,-6.109350204467773
39,-6.135277992878225,104,-3.973468542098999
40,-5.4217501935904036,155,-1.6598985195159912
41,-5.679575174231363,38,-8.201118469238281
42,-6.111617656808227,12,-10.780452728271484
43,-5.900455891127405,90,-4.499837398529053
44,-5.710410302014664,90,-4.667590141296387
45,-5.639369271813198,77,-5.314620018005371
46,-6.075432344631879,12,-10.614303588867188
47,-6.467889110168691,13,-10.78756332397461
48,-6.821100199151822,13,-10.898269653320312
49,-7.03899017923664,25,-8.905978202819824
50,-7.035091161312976,52,-7.222402095794678
51,-6.231582045181678,155,-1.4651833772659302
52,-5.808423840663511,117,-3.1747965812683105
53,-5.82758145659716,65,-6.328218460083008
54,-6.044823310937445,39,-8.115971565246582
55,-6.340340979843701,25,-8.919781684875488
56,-6.406306881859331,51,-6.900843143463135
57,-6.765676193673398,12,-11.059281349182129
58,-6.989108574306059,26,-8.27376937866211
59,-7.290197716875453,13,-11.22166633605957
60,-6.9611779451879086,90,-4.2412638664245605
61,-7.065060150669118,38,-8.382896423339844
62,-7.258554135602207,25,-9.548907279968262
63,-7.332698722041986,38,-7.131682395935059
64,-5.899428849837787,234,0.7865219712257385
65,-6.309485964854009,12,-9.200057983398438
66,-5.978537368368608,103,-3.6217539310455322
67,-5.980683631531747,65,-6.192060947418213
68,-6.2826152683785725,25,-8.96733570098877
69,-6.1543537415407155,78,-4.761715412139893
70,-6.238918367386645,51,-6.527722358703613
71,-5.61502653064798,143,-2.0130465030670166
72,-5.953523877583183,26,-8.56851863861084
73,-5.758171489824865,91,-4.429128646850586
74,-5.482354340842378,103,-3.5869576930999756
75,-5.1341189067581405,116,-3.0863611698150635
76,-5.120707016082327,77,-4.619997978210449
77,-4.908636314474094,103,-3.493168830871582
78,-4.317772683026686,155,-1.4586580991744995
79,-4.685995414724017,39,-7.806175231933594
80,-4.917395873251616,51,-6.474195957183838
81,-5.425656285926454,12,-11.90203857421875
82,-5.483090657333809,65,-5.808986186981201
83,-5.934781591600428,13,-10.05486011505127
84,-6.041303432440386,52,-6.5039191246032715
85,-6.2371730891963475,38,-8.595471382141113
86,-6.513455780276713,25,-8.608755111694336
87,-6.4621102022490415,65,-5.830013275146484
88,-6.815899182024138,12,-12.491439819335938
89,-5.934309263821724,168,-1.0846960544586182
90,-6.140878337439552,38,-7.7591681480407715
91,-6.226790503695597,51,-6.370450496673584
92,-5.604111453326037,143,-2.1496074199676514
93,-6.043700307993433,12,-11.915772438049316
94,-5.93933027719409,77,-4.681005477905273
95,-5.845397249474681,77,-5.191261291503906
96,-5.260857524527213,143,-2.0502963066101074
97,-5.634771772074492,25,-7.399457931518555
98,-4.471294594867043,220,0.25771021842956543
99,-4.924165135380339,25,-8.667922019958496
100,-4.731748621842305,103,-3.649872303009033
101,-4.758573759658075,78,-5.104868412017822
102,-4.882716383692268,65,-6.434321880340576
103,-4.894444745323041,77,-4.9167327880859375
104,-5.005000270790736,65,-5.967029094696045
105,-5.504500243711663,12,-9.834019660949707
106,-5.354050219340497,91,-4.527093410491943
107,-5.6186451974064475,39,-8.17176342010498
108,-6.056780677665803,12,-10.32992172241211
109,-6.151102609899223,51,-6.826475620269775
110,-5.935992348909301,90,-4.378567695617676
111,-5.142393114018371,168,-1.1815744638442993
112,-5.3281538026165345,51,-7.160902500152588
113,-5.695338422354881,25,-9.019991874694824
114,-5.925804580119393,38,-7.697566986083984
115,-6.033224122107454,51,-6.480733871459961
116,-6.229901709896708,38,-7.446202278137207
117,-4.806911538907038,246,1.0389679670333862
118,-5.226220385016334,26,-7.878064155578613
119,-5.703598346514701,12,-10.138246536254883
120,-5.633238511863231,77,-5.572325229644775
121,-5.969914660676909,25,-9.874738693237305
122,-6.272923194609218,25,-8.356307029724121
123,-5.845630875148297,116,-2.6757307052612305
124,-5.061067787633467,169,-1.1299141645431519
125,-5.054961008870121,77,-4.669949054718018
126,-5.349464907983109,38,-7.860811710357666
127,-5.114518417184798,104,-3.659701108932495
128,-5.503066575466319,25,-7.188553333282471
129,-4.852759917919688,155,-1.3342779874801636
130,-5.06748392612772,51,-6.613977909088135
131,-5.060735533514948,78,-5.315757751464844
132,-4.754661980163453,117,-3.1751210689544678
133,-5.179195782147108,25,-8.221063613891602
134,-5.461276203932397,38,-7.775925636291504
135,-5.115148583539158,116,-3.2423887252807617
136,-5.203633725185242,64,-5.29129695892334
137,-5.383270352666718,52,-6.484521865844727
138,-5.244943317400046,90,-3.8309528827667236
139,-5.620448985660042,25,-9.842671394348145
140,-5.558404087094038,78,-4.36786413192749
141,-4.602563678384634,195,-0.6245551109313965
142,-5.042307310546171,25,-9.368021965026855
143,-4.5380765794915545,143,-2.271052360534668
144,-4.5842689215423995,77,-5.1189374923706055
145,-4.72584202938816,64,-5.682436943054199
146,-4.853257826449344,64,-6.018099308013916
147,-5.06793204380441,51,-4.902811527252197
148,-5.4611388394239695,25,-9.754030227661133
149,-5.815024955481573,25,-7.036808967590332
150,-6.133522459933416,25,-8.267638206481934
151,-5.820170213940075,103,-2.4019179344177246
152,-5.538153192546067,103,-2.856217861175537
153,-5.884337873291461,25,-9.213386535644531
154,-6.295904085962315,12,-7.921040058135986
155,-6.666313677366084,12,-6.8876729011535645
156,-6.799682309629476,38,-5.968140602111816
157,-6.1197140786665285,142,-1.3258010149002075
158,-6.307742670799875,38,-6.5220232009887695
159,-6.276968403719888,64,-4.052995681762695
160,-5.949271563347899,103,-3.034494400024414
161,-6.25434440701311,25,-5.315780162811279
162,-6.628909966311799,13,-11.83082103729248
163,-6.86601896968062,25,-6.187286853790283
164,-6.9794170727125575,38,-6.223919868469238
165,-7.081475365441301,38,-6.424993515014648
166,-4.773327828897171,350,1.4250975847244263
167,-4.895995046007455,64,-4.040294170379639
168,-4.9063955414067095,78,-3.5539422035217285
169,-5.315755987266039,25,-9.271282196044922
170,-4.584180388539435,168,-0.4773463308811188
171,-3.8257623496854922,181,-0.5947269201278687
172,-3.643186114716943,116,-1.664301872253418
173,-4.178867503245249,25,-5.038601875305176
174,-4.760980752920725,12,-6.326867580413818
175,-3.8848826776286525,194,-0.1786450892686844
176,-4.3963944098657874,25,-6.020457744598389
177,-4.656754968879209,51,-5.066556930541992
178,-5.091079471991288,25,-5.822165489196777
179,-4.98197152479216,90,-2.646440029144287
180,-5.283774372312943,38,-5.55741024017334
181,-5.055396935081649,103,-2.7069578170776367
182,-5.149857241573484,64,-4.876803398132324
183,-5.634871517416135,12,-11.971607208251953
184,-5.371384365674522,103,-2.4486923217773438
185,-5.83424592910707,12,-8.40967845916748
186,-4.850821336196362,194,-0.3580327033996582
187,-4.565739202576726,116,-2.721086263656616
188,-3.9091652823190532,168,-0.7265259027481079
189,-4.118248754087148,64,-4.899394989013672
190,-3.3064238786784332,194,-0.1876227855682373
191,-3.07578149081059,129,-2.0352225303649902
192,-2.168203341729531,220,0.5820744633674622
193,-2.151383007556578,116,-2.0522565841674805
194,-2.8362447068009202,25,-5.127704620361328
195,-3.0526202361208283,78,-4.211014747619629
196,-3.0473582125087457,103,-3.5241479873657227
197,-3.7426223912578713,12,-8.629329681396484
198,-3.768360152132084,90,-3.6033976078033447
199,-3.991524136918876,64,-3.7379746437072754
200,-3.5923717232269885,142,-1.7232130765914917
201,-4.13313455090429,25,-5.327678203582764
202,-4.119821095813862,91,-3.945305109024048
203,-4.407838986232475,51,-6.470052242279053
204,-4.667055087609228,51,-5.398329734802246
205,-4.900349578848306,51,-5.43590784072876
206,-5.210314620963475,39,-6.308330059051514
207,-5.0892831588671275,90,-3.115941047668457
208,-5.080354842980415,77,-4.515372276306152
209,-5.072319358682374,77,-3.413623809814453
210,-5.265087422814137,51,-6.46537446975708
211,-5.438578680532723,51,-5.504209995269775
212,-4.394720812479451,207,0.09529046714305878
213,-3.255248731231506,233,0.6770768761634827
214,-3.8297238581083555,25,-7.0967698097229
215,-4.24675147229752,38,-5.109073162078857
216,-4.722076325067768,25,-7.696170806884766
217,-4.949868692560991,51,-4.522715091705322
218,-5.3548818233048925,25,-5.961544036865234
219,-5.819393640974403,12,-7.49867057800293
220,-5.337454276876962,129,-1.6131362915039062
221,-5.203708849189266,90,-2.9717326164245605
222,-4.98333796427034,103,-2.6890292167663574
223,-5.4850041678433055,12,-7.34471321105957
224,-5.736503751058975,38,-7.562786102294922
225,-5.162853375953078,142,-1.4548135995864868
226,-5.54656803835777,25,-7.8644280433654785
227,-5.891911234521993,26,-6.995749473571777
228,-6.002720111069794,51,-5.257006645202637
229,-6.402448099962815,12,-7.664025783538818
230,-6.562203289966533,38,-4.646594524383545
231,-6.60598296096988,51,-5.398589611053467
232,-6.7453846648728915,38,-6.668920993804932
233,-6.970846198385603,25,-5.609289169311523
234,-6.273761578547043,142,-1.4063782691955566
235,-5.946385420692338,103,-2.9982571601867676
236,-5.951746878623105,64,-4.141550064086914
237,-4.956572190760794,194,-0.2724885940551758
238,-5.460914971684715,12,-9.459526062011719
239,-5.6148234745162435,51,-5.959309101104736
240,-5.053341127064619,142,-1.9605792760849
241,-4.948007014358158,90,-3.2793257236480713
242,-5.253206312922342,38,-6.133157730102539
243,-5.727885681630108,12,-8.749346733093262
244,-5.555097113467097,90,-3.5040619373321533
245,-5.399587402120388,90,-3.285402774810791
246,-5.659628661908349,38,-6.311025142669678
247,-5.793665795717515,51,-5.248693943023682
248,-5.914299216145763,51,-5.106255054473877
249,-4.9228692945311865,194,-0.5053971409797668
250,-5.230582365078067,38,-5.793476104736328
251,-5.00752412857026,104,-2.9676897525787354
252,-5.506771715713234,12,-11.13113784790039
253,-4.45609454414191,208,-0.24814602732658386
254,-4.5104850897277196,78,-4.574892044067383
