episode,total_reward,episode_length,loss
50,6.071737912565812,32,0.019001834094524384
100,12.403302126713742,21,-0.23248299956321716
150,33.60638527787659,21,-0.0009217695333063602
200,9.59252057218751,21,-0.0685054361820221
250,21.908047388729074,21,-0.047047946602106094
300,21.17925367619825,32,-0.08750224113464355
350,26.59873724482466,10,0.03819073736667633
400,24.7202346556139,76,-0.04755762591958046
450,66.8389493095485,43,-0.030557110905647278
500,257.36707969346884,923,0.028099656105041504
550,247.22154859979284,307,-0.021059077233076096
600,561.3111348087559,219,-0.13749012351036072
650,899.2749174541111,1308,-0.06432338804006577
700,1455.9991674388468,2000,-0.002497093053534627
750,1173.8704905541365,274,-0.12675310671329498
800,1855.0562792095088,2000,-0.07048837840557098
850,1679.660751338851,2000,-0.016379106789827347
900,1323.5164075595515,1506,-0.014502380043268204
